,0,1
0,3472,быть_VERB%показать_PRTS#что_CONJ
1,2628,следовать_VERB%отметить_INFN#что_CONJ
2,2534,тот_ADJF#или_CONJ%иной_ADJF
3,1383,исследование_NOUN#показать_VERB%что_CONJ
4,1353,свидетельствовать_VERB%тот_ADJF#что_CONJ
5,1313,тот_ADJF%факт_NOUN#что_CONJ
6,1259,мочь_VERB%быть_INFN#использовать_PRTS
7,1200,который_ADJF#мочь_VERB%быть_INFN
8,1161,фактор_NOUN%риска_NOUN#развитие_NOUN
9,1099,быть_VERB%установить_PRTS#что_CONJ
10,1083,мочь_VERB%быть_INFN#связать_PRTS
11,1070,для_PREP#тот_ADJF%чтобы_CONJ
12,871,необходимый_ADJS%отметить_INFN#что_CONJ
13,834,играть_VERB%важный_ADJF#роль_NOUN
14,748,заключаться_VERB%тот_ADJF#что_CONJ
15,714,сравнение_NOUN%контрольный_ADJF#группа_NOUN
16,697,можно_PRED%предположить_INFN#что_CONJ
17,683,мочь_VERB%быть_INFN#обусловить_PRTS
18,674,центральный_ADJF%нервный_ADJF#система_NOUN
19,670,что_CONJ#свой_ADJF%очередь_NOUN
20,658,соавт_NOUN%соавт_NOUN#соавт_NOUN%соавт_NOUN
21,654,который_ADJF#свой_ADJF%очередь_NOUN
22,654,более_ADVB%высокий_ADJF#уровень_NOUN
23,626,сахарный_ADJF%диабет_NOUN#тип_NOUN
24,621,ишемический_ADJF%болезнь_NOUN#сердце_NOUN
25,616,важный_ADJS%отметить_INFN#что_CONJ
26,613,исследование_NOUN#показать_PRTS%что_CONJ
27,591,состоять_VERB%тот_ADJF#что_CONJ
28,567,исследование_NOUN#быть_VERB%показать_PRTS
29,535,ишемический_ADJF%болезнь_NOUN#сердце_NOUN%ибс_None
30,527,работа_NOUN#показать_PRTS%что_CONJ
31,518,раз_NOUN%выше_ADVB#чем_CONJ
32,500,материал_NOUN%метод_NOUN#исследование_NOUN
33,496,плата_NOUN%дпереть_VERB#мство_NOUN
34,491,что_CONJ#мочь_VERB%быть_INFN
35,479,качество_NOUN%жизнь_NOUN#пациент_NOUN
36,469,средний_ADJF%возраст_NOUN#год_NOUN
37,468,тот_ADJF#случай_NOUN%когда_CONJ
38,462,рак_NOUN%молочный_ADJF#железа_NOUN
39,460,избыточный_ADJF%масса_NOUN#тело_NOUN
40,439,ранний_ADJF%послеоперационный_ADJF#период_NOUN
41,435,соавт_NOUN%показать_VERB#что_CONJ
42,433,оказание_NOUN%медицинский_ADJF#помощь_NOUN
43,429,стоить_VERB%отметить_INFN#что_CONJ
44,427,фактор_NOUN%некроз_NOUN#опухоль_NOUN
